symbol,current_price
AEFES.IS,131.5
AGHOL.IS,218.39999389648438
AHGAZ.IS,12.09000015258789
AKBNK.IS,38.15999984741211
AKCNS.IS,160.1999969482422
AKFYE.IS,18.899999618530273
AKSA.IS,87.4000015258789
AKSEN.IS,32.97999954223633
ALARK.IS,93.19999694824219
ALBRK.IS,4.039999961853027
ALFAS.IS,92.3499984741211
ARCLK.IS,133.3000030517578
ASELS.IS,47.2599983215332
ASGYO.IS,15.010000228881836
ASTOR.IS,111.0
BERA.IS,11.5600004196167
BIENY.IS,42.02000045776367
BIMAS.IS,361.0
BIOEN.IS,18.43000030517578
BOBET.IS,33.7599983215332
BRSAN.IS,542.0
BRYAT.IS,2342.0
BUCIM.IS,7.449999809265137
CANTE.IS,17.149999618530273
CCOLA.IS,544.5
CIMSA.IS,30.1200008392334
CWENE.IS,298.25
DOAS.IS,240.6999969482422
DOHOL.IS,12.260000228881836
ECILC.IS,44.939998626708984
ECZYT.IS,266.25
EGEEN.IS,10415.0
EKGYO.IS,9.399999618530273
ENERY.IS,132.89999389648438
ENJSA.IS,48.7400016784668
ENKAI.IS,34.08000183105469
EREGL.IS,42.34000015258789
EUPWR.IS,175.5
EUREN.IS,15.300000190734863
FROTO.IS,807.5
GARAN.IS,60.25
GESAN.IS,69.5
GUBRF.IS,137.6999969482422
GWIND.IS,23.799999237060547
HALKB.IS,12.869999885559082
HEKTS.IS,17.040000915527344
IPEKE.IS,33.97999954223633
ISCTR.IS,23.8799991607666
ISDMR.IS,34.5
ISGYO.IS,17.549999237060547
ISMEN.IS,29.799999237060547
IZENR.IS,29.639999389648438
IZMDC.IS,5.960000038146973
KARSN.IS,8.930000305175781
KAYSE.IS,32.47999954223633
KCAER.IS,37.0
KCHOL.IS,151.1999969482422
KLSER.IS,68.5999984741211
KMPUR.IS,66.69999694824219
KONTR.IS,232.5
KONYA.IS,7340.0
KORDS.IS,78.19999694824219
KOZAA.IS,46.02000045776367
KOZAL.IS,19.709999084472656
KRDMD.IS,24.84000015258789
MAVI.IS,126.5999984741211
MGROS.IS,400.0
MIATK.IS,32.900001525878906
ODAS.IS,8.630000114440918
OTKAR.IS,456.0
OYAKC.IS,59.04999923706055
PENTA.IS,18.280000686645508
PETKM.IS,19.670000076293945
PGSUS.IS,710.0
QUAGR.IS,3.880000114440918
SAHOL.IS,67.80000305175781
SASA.IS,36.400001525878906
SDTTR.IS,361.5
SISE.IS,47.20000076293945
SKBNK.IS,4.889999866485596
SMRTG.IS,60.0
SOKM.IS,58.29999923706055
TATEN.IS,36.459999084472656
TAVHL.IS,125.0999984741211
TCELL.IS,65.5999984741211
THYAO.IS,248.8000030517578
TKFEN.IS,38.560001373291016
TOASO.IS,232.6999969482422
TSKB.IS,7.53000020980835
TTKOM.IS,29.68000030517578
TTRAK.IS,712.0
TUKAS.IS,7.309999942779541
TUPRS.IS,140.0
ULKER.IS,83.05000305175781
VAKBN.IS,13.880000114440918
VESTL.IS,47.779998779296875
YEOTK.IS,205.60000610351562
YYLGD.IS,14.579999923706055
ZOREN.IS,4.360000133514404
